area_mean,area_se,area_worst,concavity_se,fractal_dimension_mean,perimeter_mean,perimeter_worst,radius_mean,radius_worst,smoothness_mean,smoothness_worst,symmetry_worst,texture_mean,texture_worst
190,45.9,1.42E+03,-0.0353,0.0584,61.3,128,9.53,19.6,0.0959,0.164,0.285,22.1,45.2
490,82.4,1.45E+03,0.0486,0.0677,73.4,138,11.5,21.4,0.0928,0.158,0.299,25.4,23.4
524,-71.6,-480,0.0431,0.0757,77.2,25.4,12.1,5.15,0.0615,0.146,0.338,19.2,19.7
491,148,1.30E+03,-0.0106,0.0572,76.4,114,11.5,18.9,0.14,0.139,0.329,15,27.8
1.20E+03,61.9,1.10E+03,0.0685,0.0519,127,115,19,17.3,0.0996,0.147,0.179,10.3,24.3
553,28.5,686,-0.00614,0.0599,79.4,97.9,12.6,15.4,0.0864,0.0879,0.35,23.3,34.5
879,98.7,706,0.0515,0.0586,100,104,15.3,15.3,0.101,0.107,0.296,22.3,19.9
-550,22,803,0.0261,0.0706,9.03,96.4,1.97,15.7,0.0638,0.172,0.269,23.4,24.7
262,78,1.10E+03,0.0316,0.0484,66.3,118,10.2,18.3,0.0738,0.0638,0.324,19.1,27.6
801,48.8,1.58E+03,0.0156,0.0599,112,151,16.6,22,0.0814,0.125,0.22,16.6,27.8
915,70.6,1.21E+03,-0.0162,0.0585,105,117,16.1,17.9,0.0831,0.127,0.192,15.9,29.9
995,3.67,199,0.0117,0.0708,113,77,17.1,11.3,0.0993,0.109,0.236,21,21.9
928,78,1.56E+03,0.000796,0.0687,115,156,17,22.5,0.104,0.17,0.303,7.47,25.7
357,118,1.75E+03,-0.00246,0.069,73,151,11.4,23.4,0.113,0.141,0.38,23.1,27.9
335,40.7,520,0.0291,0.0566,62.7,88.2,10.4,13.9,0.0905,0.147,0.34,15.3,22.5
594,20.6,715,0.00737,0.0663,87.5,103,13.8,15.1,0.0936,0.121,0.223,23.1,15.2
1.02E+03,47.7,1.54E+03,0.00682,0.0556,119,144,18.1,21.9,0.101,0.159,0.328,25.1,34.8
639,53,895,0.0311,0.0546,85.2,118,13.3,17.2,0.1,0.139,0.255,23.8,29
183,120,990,0.0408,0.0626,61.7,114,9.54,17.6,0.129,0.126,0.214,18.8,16.9
888,83.6,796,0.0182,0.053,102,103,15.7,15.2,0.0914,0.113,0.314,16.5,27
423,45.2,1.21E+03,0.0138,0.0529,79.6,124,12.3,18.9,0.0847,0.148,0.25,16.9,16.3
593,-18.6,376,0.0145,0.0698,90.6,80.9,14,13.3,0.0653,0.0983,0.24,16.6,28.6
815,63.6,1.48E+03,0.03,0.0696,107,142,16.2,21.7,0.0972,0.156,0.195,26.3,22.9
852,53.6,1.09E+03,0.0418,0.0613,106,116,16.4,17.1,0.121,0.155,0.31,20.1,21.3
910,29.5,871,-0.000631,0.0622,110,100,16.7,16,0.111,0.121,0.257,15.6,37.3
1.04E+03,101,1.88E+03,0.045,0.0739,114,168,17.7,25.1,0.0988,0.121,0.331,22.1,23.7
1.01E+03,43.3,1.35E+03,0.0346,0.0623,121,138,18.2,20.4,0.104,0.149,0.274,14.6,29.2
560,14.8,1.16E+03,0.0249,0.0621,93.7,115,14.4,17.7,0.0816,0.135,0.366,22.7,30.5
689,-26.7,723,0.043,0.0666,91.9,101,14.4,15,0.0872,0.173,0.318,18,23.4
565,77.6,1.25E+03,0.0736,0.0537,80,122,12.7,19,0.0935,0.139,0.27,14.9,16.9
1.21E+03,34.3,993,0.0381,0.0579,124,117,18.9,17,0.0913,0.175,0.271,20.5,24.4
892,6.61,1.01E+03,-0.013,0.0772,110,123,16.9,18.4,0.092,0.0837,0.237,17.9,28.8
831,3.28,584,0.0444,0.0773,104,88.5,15.7,14.6,0.0664,0.15,0.298,26,27.6
907,44.1,822,0.0296,0.0538,105,104,15.9,15.5,0.0916,0.121,0.203,14.9,23.1
925,76.8,1.69E+03,0.00392,0.0615,109,150,16.8,22,0.0934,0.138,0.334,16.9,26.9
738,-14.7,148,0.0179,0.0622,104,65.1,15.6,10.4,0.0864,0.125,0.274,12.6,21.4
610,55.3,1.21E+03,0.0589,0.063,91.4,130,14.2,18.2,0.103,0.116,0.382,12.7,17.2
309,-5.66,331,0.0991,0.0638,73.5,74.9,11.5,11.4,0.068,0.0913,0.182,19,20.4
564,30.9,656,0.0219,0.0606,87.3,99.8,13.3,15.5,0.089,0.105,0.238,16.9,23.4
679,5.36,1.15E+03,0.0432,0.0534,97,127,15,19.1,0.0981,0.165,0.312,21.2,22.4
679,42.1,1.64E+03,0.0749,0.0673,93,140,14.3,21.8,0.0899,0.142,0.335,17.8,30.7
324,38.8,415,0.0695,0.0616,66.1,68.8,10.6,12,0.106,0.112,0.322,21.7,22.9
560,46.8,531,0.0183,0.0702,86.7,88.4,13.2,14,0.108,0.106,0.318,15,28
627,-68.3,-215,0.0637,0.0721,85.8,32.5,13.2,6.3,0.0895,0.135,0.264,14.5,28.3
770,16.3,806,0.0333,0.0722,97.7,112,15,16.6,0.084,0.142,0.354,19.2,34.5
637,-17.5,436,0.0568,0.0515,88.1,82.9,13.7,12.3,0.0715,0.133,0.293,17.3,38.5
861,132,1.73E+03,0.0522,0.0546,108,161,16.8,23.8,0.109,0.0749,0.177,16.7,24.2
660,-11.5,495,-0.0114,0.0619,89.7,86.7,13.8,12.4,0.0736,0.151,0.216,15.6,35.3
809,18.8,-345,0.0328,0.0638,98.3,40,14.7,6.4,0.0961,0.139,0.247,18.6,20.6
454,81.1,1.11E+03,0.0295,0.0708,81.8,129,12.6,19.4,0.118,0.109,0.279,18.2,24.7
-196,60.8,901,-0.0111,0.0665,36.2,109,5.95,17.2,0.0905,0.123,0.346,15.5,10.8
1.05E+03,154,1.27E+03,0.0236,0.0589,112,146,17.1,21.4,0.0809,0.117,0.331,12.8,12.1
368,44.9,716,0.0122,0.0647,76.9,92,12,15.1,0.125,0.106,0.271,15.5,29.5
783,-20.5,-300,0.0732,0.0559,97.8,30.7,14.9,6.32,0.0885,0.128,0.287,16.4,24.7
1.13E+03,47,912,0.0478,0.0579,122,107,18.5,16.3,0.105,0.15,0.271,14.7,25
497,22.3,844,0.0785,0.0416,78.7,107,12.6,16.6,0.0844,0.124,0.408,24.8,23.5
827,68.4,1.52E+03,0.0242,0.0526,109,140,16.7,21.3,0.0993,0.146,0.253,19,23.8
876,-1.13,636,0.0539,0.0609,111,86.6,17,13.4,0.105,0.156,0.301,26.5,24.6
523,13.8,590,0.0211,0.0722,87.2,98.1,13.7,14.8,0.0886,0.123,0.243,19.5,29.5
857,61.6,1.10E+03,0.013,0.0588,106,110,15.7,17.3,0.0872,0.157,0.324,11.9,21.2
1.11E+03,-22.1,895,0.0234,0.0608,123,100,18.7,14.9,0.0607,0.15,0.174,9.86,32.9
894,77.1,1.13E+03,0.0194,0.067,104,131,16.2,19.5,0.088,0.115,0.367,14,19.3
1.11E+03,-52.8,302,0.062,0.0672,123,82.9,19,12.2,0.1,0.124,0.376,14.2,20.2
91.5,16.2,-191,-0.00671,0.0627,54.5,48.9,8.49,7.63,0.107,0.117,0.287,21.1,27.1
462,-32.4,394,0.0458,0.065,78.1,90.6,11.8,12.9,0.0847,0.168,0.372,9.34,33.9
509,12.5,827,0.0157,0.0637,79.6,98,12.5,14.8,0.0817,0.167,0.322,25.4,25.2
101,-17.1,391,0.00677,0.07,56.1,87.6,8.85,12.9,0.0763,0.0938,0.242,18.6,32.1
422,110,1.16E+03,0.00526,0.0676,68.5,130,10.8,19.7,0.0958,0.113,0.44,21.7,30.9
395,116,1.67E+03,0.0156,0.0553,69.2,154,10.9,22.8,0.0886,0.165,0.416,17.3,19.2
509,17.8,1.38E+03,0.0561,0.0587,82.7,136,12.9,20.7,0.0729,0.15,0.325,23.1,24.4
682,95.3,1.73E+03,0.0296,0.0515,102,155,15,23.2,0.0799,0.137,0.233,14.8,21.7
1.25E+03,48.3,191,0.0827,0.0645,128,77.1,19.3,11.3,0.133,0.144,0.27,21.7,20.8
183,100,1.39E+03,0.0248,0.0498,52.7,150,8.46,22,0.0753,0.137,0.317,14.5,35
1.21E+03,1.6,1.45E+03,0.00264,0.068,131,141,19.9,20.7,0.0699,0.149,0.16,9.81,32.6
314,-22.2,110,0.0438,0.0574,68.4,68.9,10.8,10.6,0.0906,0.108,0.239,13.6,32.2
1.03E+03,-0.889,1.25E+03,-0.0158,0.0556,124,123,19,18.7,0.103,0.0962,0.27,15.1,23.4
-150,-47.8,-865,0.0629,0.0654,37.2,15.3,6.09,3.01,0.0966,0.167,0.294,21.9,25.3
1.02E+03,49.3,576,-0.0381,0.0702,113,92.5,17.1,14.4,0.106,0.132,0.394,16.6,22.3
800,-15.7,1.01E+03,0.032,0.058,108,121,16.4,18.1,0.0792,0.15,0.278,22.6,25.3
814,78.1,1.21E+03,0.0274,0.069,104,127,15.9,19.9,0.107,0.119,0.347,20.8,19.7
441,63.2,549,0.0356,0.0605,76.1,102,11.4,14.9,0.11,0.129,0.322,21.1,25.1
443,43.5,1.03E+03,0.0872,0.0646,78.1,114,12.3,17.2,0.114,0.135,0.225,21.6,22.8
451,-45.1,603,0.00195,0.0627,83.9,90.3,12.9,14,0.0736,0.126,0.346,18.6,20.4
534,55.7,639,-0.0198,0.0784,83.5,81.1,12.8,13.3,0.112,0.113,0.343,17.2,20.4
732,77.9,1.05E+03,0.0384,0.0632,91.4,117,14.1,17.9,0.0871,0.136,0.27,18.8,24.4
1.06E+03,75.1,1.30E+03,0.0176,0.0588,119,133,17.8,19.8,0.0805,0.123,0.18,14.6,24.6
669,-56.6,-212,-0.00817,0.0571,89.8,41.5,13.7,5.82,0.0816,0.15,0.268,22.5,17.7
194,68.3,1.00E+03,0.0425,0.0614,59.8,119,9.25,17.6,0.0726,0.161,0.214,16.7,28.2
960,24.5,459,0.0255,0.0692,115,76.2,16.9,12.7,0.101,0.133,0.266,16,25.8
1.19E+03,-23.6,653,0.0802,0.0621,134,82.2,20.1,13.2,0.0915,0.162,0.307,30.4,23.3
88.5,56,1.53E+03,0.0199,0.0582,57.1,150,9.24,22.3,0.0766,0.125,0.279,19.1,21.9
1.18E+03,-64.8,447,0.046,0.0535,134,87,20.2,13.5,0.0649,0.145,0.307,5.68,21.5
610,84.3,762,-0.0314,0.0556,92,104,14,16.5,0.0903,0.143,0.317,23,21.2
833,14,631,0.00875,0.0702,101,95.6,15.6,14.3,0.0903,0.128,0.353,17.9,32.9
638,-2.17,1.12E+03,-0.0656,0.0636,88.7,121,13.9,18.4,0.0834,0.173,0.211,15.2,27.1
961,11.1,-106,0.0246,0.0591,109,50.9,16.5,8.17,0.0906,0.123,0.261,22.6,41.4
1.12E+03,121,1.26E+03,0.0115,0.066,123,138,18.5,21.9,0.107,0.132,0.172,19.6,25
546,46.1,745,0.0485,0.0696,87.1,103,13.3,16.3,0.0838,0.131,0.329,24.7,28.7
1.26E+03,-2.61,-41.2,0.0925,0.0539,132,60.9,19.8,9.18,0.0692,0.135,0.249,19.9,35.3
1.18E+03,43.7,690,0.0406,0.0666,130,108,19.7,16.4,0.101,0.0832,0.286,11.7,16
587,79,1.46E+03,-0.024,0.0671,88.5,138,13.7,20.8,0.0902,0.151,0.344,15.7,24.9
377,-14.2,612,0.0348,0.0707,75.5,94.7,12,13.4,0.0907,0.1,0.257,14.3,25.8
1.40E+03,-7.91,836,-0.0181,0.0579,151,111,22.5,16.9,0.094,0.116,0.353,9.3,20.7
1.03E+03,33.5,349,0.00469,0.0523,121,74.8,18.3,12.3,0.0851,0.129,0.271,25.5,20.7
1.10E+03,70.4,1.07E+03,0.0891,0.058,124,110,18.6,16.3,0.118,0.104,0.276,23.9,25.9
578,-2.21,814,0.0274,0.0591,92.9,116,14.6,17.7,0.0943,0.142,0.296,20.2,35
714,90,1.47E+03,0.087,0.0736,98.1,138,14.9,20.9,0.0925,0.157,0.267,29,32.8
609,26,1.31E+03,0.00967,0.0673,93.7,131,14.4,19.4,0.0924,0.156,0.335,18.9,37
1.47E+03,31.6,470,0.047,0.0685,146,84.9,21.7,13.2,0.101,0.135,0.344,24.6,34.6
-142,23.2,377,0.0165,0.06,40.2,95.5,6.7,14.1,0.101,0.164,0.157,22.1,29.7
398,112,1.09E+03,0.0612,0.0615,69.6,131,11,19.2,0.109,0.105,0.338,23.1,29.4
603,61.1,957,0.000581,0.0644,85.8,113,13.3,16.3,0.0862,0.104,0.313,21,26.9
279,24.4,322,0.0169,0.0626,70.3,79.5,10.8,12.1,0.1,0.0996,0.358,20.9,27.6
826,16.5,769,-0.000171,0.0552,101,111,15.8,16.5,0.119,0.132,0.219,14.8,37.5
617,92.7,961,0.0178,0.0642,88.1,119,13.4,18.1,0.108,0.0993,0.291,16.1,31.7
144,-81.4,-483,0.0024,0.0767,63.7,30.5,9.74,4.35,0.0835,0.124,0.331,23.1,22
664,93.8,1.83E+03,0.0355,0.0506,95.4,165,14.9,24.6,0.0957,0.169,0.253,20.3,22
394,-5.8,774,0.0209,0.0684,77.9,105,12.3,15.6,0.0803,0.096,0.159,24.4,17.7
531,42.8,1.56E+03,0.0167,0.0596,82.6,148,13.1,22.1,0.0961,0.0831,0.29,16.4,24.4
618,41.2,264,0.0326,0.0635,85.1,75.8,13.2,12.6,0.108,0.14,0.237,18.3,19
923,18.8,374,0.019,0.0676,109,85.9,16.6,12.8,0.11,0.145,0.244,20.1,33.1
1.12E+03,64.3,1.25E+03,-0.0176,0.0799,123,133,18.8,20.4,0.105,0.117,0.34,19.4,40.9
1.06E+03,38.3,579,-0.0127,0.0717,118,79.3,17.7,12.9,0.108,0.125,0.338,15.4,27.1
925,-0.117,441,0.0409,0.0564,113,81.2,17.1,12.8,0.101,0.162,0.267,19.1,21.3
606,111,2.39E+03,0.0515,0.0703,93.3,198,14.3,29.2,0.0798,0.119,0.342,25.8,28.3
278,71.7,444,0.0205,0.072,66.5,81,10.4,12.8,0.125,0.126,0.215,22.1,19.9
943,26.9,736,0.00268,0.0781,114,90.7,17.4,13.4,0.115,0.112,0.287,23.1,29.3
-19.9,23.2,1.47E+03,0.0775,0.0627,50.9,138,8.11,20.6,0.0999,0.139,0.331,20.4,34.4
601,-29.5,-6.92,0.0846,0.067,87.4,65.7,13.6,10.8,0.0923,0.125,0.375,21.4,22.6
916,67.3,1.64E+03,0.0644,0.0662,110,154,16.7,22.1,0.0916,0.171,0.271,19.1,25
1.22E+03,47.6,752,0.0331,0.0697,131,98.7,19.3,14.9,0.0978,0.132,0.304,17.7,20.4
650,-8.62,567,-0.0152,0.0627,101,81.6,15.3,12.9,0.081,0.108,0.325,25.1,25.8
-239,32.5,1.47E+03,0.0356,0.0654,35,139,6.11,21.6,0.0881,0.143,0.362,19.1,36.2
612,108,853,0.0137,0.0502,95.2,110,14.6,17.9,0.129,0.134,0.25,18.8,21.9
188,25.6,989,0.0665,0.0528,62.8,103,9.7,16.5,0.0718,0.137,0.218,19.7,24.7
172,-86.7,-69.6,0.0709,0.0782,56.9,43,9.37,7.5,0.0679,0.122,0.257,19.9,26.8
474,159,1.21E+03,0.0514,0.08,68.4,136,10.6,20.1,0.122,0.128,0.317,22.5,14.6
314,41.4,595,-0.00317,0.0496,70.3,99.2,11,14.5,0.0975,0.148,0.198,28.4,26
663,69.1,1.16E+03,0.0429,0.0566,92.9,122,14.3,18.9,0.0974,0.151,0.312,17.8,6.26
934,-28.3,-38,0.00146,0.0534,110,51.4,16.9,9.03,0.087,0.112,0.179,19.7,27.2
1.29E+03,27.3,928,0.0479,0.0693,124,119,18.9,17.4,0.0838,0.161,0.499,19.3,24.8
1.19E+03,176,1.63E+03,0.038,0.0695,125,152,18.4,22.6,0.13,0.0878,0.378,19.7,25.3
932,19.6,520,0.074,0.0675,116,91.8,17.5,14.3,0.106,0.15,0.217,23.7,13.8
696,52.4,1.02E+03,0.0697,0.0565,94.9,114,14.5,17.1,0.104,0.159,0.256,15.8,14.9
439,7.25,785,0.0435,0.0532,78.4,106,12.2,15.5,0.0872,0.141,0.35,17.4,35.7
656,67.4,1.20E+03,0.00655,0.0667,89.6,136,14,20.3,0.101,0.122,0.337,19.6,18
624,-0.359,858,0.02,0.0603,85.3,106,13.3,15.3,0.0736,0.13,0.241,25.4,34.2
409,150,2.36E+03,0.0889,0.0637,76.7,203,12.1,29.9,0.108,0.0991,0.229,16,32
770,-83.6,-476,0.0411,0.0726,103,30.3,15.7,5.41,0.0944,0.115,0.195,14.7,24.6
259,25.5,374,0.0188,0.0544,65.7,78.6,10.1,12.4,0.12,0.133,0.342,22.8,24.5
644,75.4,1.26E+03,0.094,0.0653,91,126,14.1,20,0.0713,0.177,0.334,14.4,8.82
949,41.7,916,-0.00392,0.0656,113,104,17.2,15.9,0.0856,0.137,0.294,19.4,13
701,30.7,1.12E+03,0.013,0.0691,96.6,125,14.8,18,0.0856,0.0971,0.358,23.4,27.1
388,50.8,674,0.0385,0.0641,68.8,95.5,10.8,15.1,0.0882,0.122,0.249,18.7,25.5
991,-41,-169,0.0222,0.0555,117,50.4,17.5,7.62,0.093,0.147,0.312,22.1,27.8
1.13E+03,17.7,311,0.00435,0.0624,127,85.6,18.9,11.9,0.124,0.144,0.262,22,24.6
340,-11.7,-239,0.0867,0.0719,76.8,41,11.9,7.34,0.122,0.133,0.326,22.2,18.9
440,61.4,1.32E+03,0.0179,0.068,79.8,138,12.2,19.7,0.07,0.154,0.274,22.7,22.3
1.14E+03,148,1.98E+03,0.0293,0.0472,123,177,18.6,25.9,0.102,0.161,0.293,20.6,31.8
656,90,1.16E+03,0.0525,0.0655,89.2,132,13.5,19.5,0.103,0.157,0.287,16.5,21.7
1.14E+03,49.2,603,-0.00113,0.0622,120,99.1,18.1,14.6,0.109,0.163,0.239,18.2,31.7
524,-7,576,0.0124,0.0533,85.9,86.7,13.2,12.6,0.0892,0.121,0.242,20.5,28.7
610,133,1.20E+03,0.0367,0.0579,85.9,131,13,19,0.0921,0.109,0.331,21.9,17.6
846,-5.9,750,0.0399,0.0582,109,104,16.6,15.6,0.0842,0.184,0.401,20,22.8
1.59E+03,-16.5,604,0.047,0.0765,159,91.2,23.6,13.3,0.0923,0.123,0.253,22.2,22.7
1.43E+03,20,239,-0.00536,0.0696,143,81,21.6,11.7,0.096,0.118,0.26,22.6,33.8
935,60.8,927,0.0198,0.0648,114,103,17.2,16,0.0935,0.118,0.248,22.6,30.5
372,-5.55,391,0.0436,0.0682,79.3,78.2,12.2,12.4,0.0873,0.117,0.321,19,12.4
896,45,612,0.0445,0.0648,98,93.9,15.1,14.5,0.0897,0.135,0.378,18.5,28.6
505,92.3,985,0.0318,0.0759,80.4,109,12.2,17,0.108,0.153,0.222,17.7,36.8
727,-23.2,119,-0.017,0.0718,99.4,54.6,15.1,8.79,0.0881,0.135,0.313,20.1,22.3
307,106,1.04E+03,-0.00537,0.063,65.5,121,10.4,18.2,0.0915,0.11,0.231,19.5,22.2
809,35.1,1.13E+03,0.0144,0.0659,100,129,15.8,19,0.0862,0.119,0.235,29,26.1
422,103,1.50E+03,0.0176,0.0579,73.8,156,11.6,22.9,0.133,0.146,0.291,25.5,36.6
221,70.6,1.16E+03,0.0266,0.0647,62.2,114,10.1,17.7,0.0996,0.111,0.318,23.8,32.4
833,76.1,661,0.0731,0.0607,98.5,87.2,14.9,13.3,0.0772,0.125,0.215,13.7,19.8
875,49.7,1.14E+03,0.0122,0.0635,111,123,16.9,18.6,0.0945,0.127,0.271,22.1,33
-177,40.5,981,-0.0153,0.0669,33.8,107,5.66,15.5,0.109,0.145,0.415,16.8,24.8
1.03E+03,107,655,0.00292,0.0628,114,100,16.9,14.7,0.0951,0.0852,0.242,20.8,21.4
1.03E+03,0.292,669,0.0675,0.0673,117,108,17.9,16,0.0769,0.139,0.213,14.1,35
1.01E+03,211,1.98E+03,0.0393,0.0642,111,176,17,27.3,0.102,0.0787,0.219,22.5,22.4
1.33E+03,166,2.00E+03,-0.0398,0.0605,133,173,20.4,26.3,0.119,0.138,0.221,21.6,25.8
686,61.2,1.05E+03,0.0331,0.0629,97,116,14.7,17.7,0.101,0.105,0.183,19.3,29.6
1.38E+03,85.1,1.55E+03,0.0589,0.051,139,147,21.2,22.5,0.0992,0.12,0.352,21.7,32.6
853,74.1,1.52E+03,0.0864,0.0625,105,141,16.3,21.7,0.0995,0.14,0.249,21.4,24.1
397,61.3,863,0.0247,0.0574,72.5,115,11.4,16.4,0.102,0.124,0.33,28.2,20.8
647,41.5,1.66E+03,0.0478,0.0636,88.7,154,14.1,22.6,0.0911,0.188,0.344,22.6,21.7
558,86.3,1.64E+03,0.0595,0.0696,78.6,144,12.2,21.7,0.0721,0.118,0.318,20.1,23.9
526,-68.2,297,0.0243,0.0658,87.3,73.9,13.5,11.9,0.105,0.126,0.358,25.6,36.2
1.10E+03,46,1.30E+03,0.00908,0.0662,131,137,19.4,20.6,0.102,0.133,0.25,17.8,34.3
937,8.45,149,0.00978,0.0543,116,67.1,17.5,10.4,0.0918,0.114,0.352,19.9,23.6
1.20E+03,64.4,1.22E+03,0.0495,0.0637,127,131,19.3,19.2,0.0865,0.125,0.227,18,23.2
833,53.1,1.14E+03,0.0545,0.058,103,124,16.1,19,0.101,0.149,0.298,18.6,24.1
1.05E+03,53.6,926,0.0221,0.0609,118,106,17.8,16.6,0.0792,0.144,0.279,20.2,26.9
-10.9,87.8,1.14E+03,0.0185,0.0555,37.8,111,6.09,17.2,0.1,0.151,0.262,14.2,26.7
837,50.8,945,0.0225,0.0534,107,119,16.1,17.7,0.0983,0.129,0.348,20.5,17.5
1.41E+03,85.4,1.17E+03,0.0165,0.0612,141,129,20.6,19.5,0.109,0.173,0.133,15.4,26.8
159,-9.23,550,-0.0127,0.0646,59,87.8,9.63,12.9,0.057,0.13,0.33,19.2,28
512,43.2,1.12E+03,-0.0219,0.0709,80.8,123,12.6,18.6,0.0802,0.108,0.38,11.2,21.1
738,73,399,0.0368,0.0486,97.7,86.7,14.9,12.6,0.09,0.114,0.261,22.2,21.9
509,40.6,1.05E+03,0.0608,0.0645,87.5,114,13.5,17.6,0.0978,0.145,0.358,23.2,40.9
241,-9.14,715,0.0119,0.0682,69.9,89.1,10.8,14,0.13,0.139,0.249,15.2,39.5
512,-69.6,-296,0.0087,0.0611,88.3,50.1,13.7,7.63,0.106,0.123,0.29,18.7,25.8
674,-3.86,796,0.0441,0.065,90.3,94.9,14.5,15.1,0.0992,0.128,0.28,17.9,26.3
358,4.18,518,0.0503,0.063,72.2,85.3,11.2,13.4,0.0971,0.114,0.423,11.8,23.3
426,0.772,1.12E+03,0.0411,0.0629,78.3,121,12.5,18.7,0.066,0.144,0.236,21.5,24.7
583,40.7,613,0.0566,0.0689,87.3,98.2,13.3,14.5,0.106,0.157,0.295,19.4,16.4
1.12E+03,41.5,716,0.0312,0.0634,126,86.7,18.7,13.5,0.107,0.13,0.264,22.2,26.2
