radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,fractal_dimension_mean,area_se,concavity_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,symmetry_worst
16.74,21.59,110.1,869.5,0.0961,0.05656,45.19,0.03695,20.01,29.02,133.5,1229,0.1563,0.4863
14.25,21.72,93.63,633,0.09823,0.06125,24.91,0.04815,15.89,30.36,116.2,799.6,0.1446,0.3591
13.03,18.42,82.61,523.8,0.08983,0.05863,14.16,0.01343,13.3,22.81,84.46,545.9,0.09701,0.1987
14.99,25.2,95.54,698.8,0.09387,0.05504,106,0.01818,14.99,25.2,95.54,698.8,0.09387,0.1565
13.48,20.82,88.4,559.2,0.1016,0.06419,18.52,0.03049,15.53,26.02,107.3,740.4,0.161,0.2807
13.44,21.58,86.18,563,0.08162,0.05587,20.53,0.0139,15.93,30.25,102.5,787.9,0.1094,0.2994
10.95,21.35,71.9,371.1,0.1227,0.0687,16.97,0.02595,12.84,35.34,87.22,514,0.1909,0.2964
19.07,24.81,128.3,1104,0.09081,0.06343,104.9,0.09723,24.09,33.17,177.4,1651,0.1247,0.467
13.28,20.28,87.32,545.2,0.1041,0.06782,31.33,0.02185,17.38,28,113.1,907.2,0.153,0.3739
13.17,21.81,85.42,531.5,0.09714,0.06177,14.49,0.01452,16.23,29.89,105.5,740.7,0.1503,0.3693
18.65,17.6,123.7,1076,0.1099,0.06049,71.56,0.05554,22.82,21.32,150.6,1567,0.1679,0.3799
8.196,16.84,51.71,201.9,0.086,0.06503,8.205,0.01588,8.964,21.96,57.26,242.2,0.1297,0.3105
13.17,18.66,85.98,534.6,0.1158,0.06777,24.25,0.02905,15.67,27.95,102.8,759.4,0.1786,0.39
12.05,14.63,78.04,449.3,0.1031,0.06043,19.87,0.02322,13.76,20.7,89.88,582.6,0.1494,0.2747
13.49,22.3,86.91,561,0.08752,0.05718,20.2,0.02095,15.15,31.82,99,698.8,0.1162,0.2871
11.76,21.6,74.72,427.9,0.08637,0.05888,28.47,0.01168,12.98,25.72,82.98,516.5,0.1085,0.2433
13.64,16.34,87.21,571.8,0.07685,0.05953,14.55,0.01079,14.67,23.19,96.08,656.7,0.1089,0.2346
11.94,18.24,75.71,437.6,0.08261,0.0611,17.47,0.01311,13.1,21.33,83.67,527.2,0.1144,0.2785
18.22,18.7,120.3,1033,0.1148,0.0631,98.81,0.02817,20.6,24.13,135.1,1321,0.128,0.3021
15.1,22.02,97.26,712.8,0.09056,0.05684,29.91,0.01603,18.1,31.69,117.7,1030,0.1389,0.2675
11.52,18.75,73.34,409,0.09524,0.05907,23.47,0.01349,12.84,22.47,81.81,506.2,0.1249,0.3306
19.21,18.57,125.5,1152,0.1053,0.05961,102.5,0.02945,26.14,28.14,170.1,2145,0.1624,0.3537
14.71,21.59,95.55,656.9,0.1137,0.06758,40.09,0.02572,17.87,30.7,115.7,985.5,0.1368,0.3698
13.05,19.31,82.61,527.2,0.0806,0.05501,32.96,0.000692,14.23,22.25,90.24,624.1,0.1021,0.2439
8.618,11.79,54.34,224.5,0.09752,0.07187,8.322,0.01981,9.507,15.4,59.9,274.9,0.1733,0.322
10.17,14.88,64.55,311.9,0.1134,0.0696,34.62,0.007665,11.02,17.45,69.86,368.6,0.1275,0.3557
8.598,20.98,54.66,221.8,0.1243,0.06757,18.39,0.03,9.565,27.04,62.06,273.9,0.1639,0.2972
14.25,22.15,96.42,645.7,0.1049,0.07292,60.78,0.06899,17.67,29.51,119.1,959.5,0.164,0.2844
9.173,13.86,59.2,260.9,0.07721,0.06963,23.52,0.04312,10.01,19.23,65.59,310.1,0.09836,0.3282
12.68,23.84,82.69,499,0.1122,0.0659,36.46,0.02973,17.09,33.47,111.8,888.3,0.1851,0.3383
14.78,23.94,97.4,668.3,0.1172,0.06654,35.24,0.02315,17.31,33.39,114.6,925.1,0.1648,0.3321
9.465,21.01,60.11,269.4,0.1044,0.06899,14.2,0.01714,10.41,31.56,67.03,330.7,0.1548,0.2878
11.31,19.04,71.8,394.1,0.08139,0.05667,18.15,0.02063,12.33,23.84,78,466.7,0.129,0.24
9.029,17.33,58.79,250.5,0.1066,0.08046,17.67,0.3038,10.31,22.65,65.5,324.7,0.1482,0.4228
12.78,16.49,81.37,502.5,0.09831,0.05653,18.33,0.01585,13.46,19.76,85.67,554.9,0.1296,0.2383
18.94,21.31,123.6,1130,0.09009,0.05461,96.05,0.02269,24.86,26.58,165.9,1866,0.1193,0.2551
8.888,14.64,58.79,244,0.09783,0.0898,25.44,0.05671,9.733,15.67,62.56,284.4,0.1207,0.2254
17.2,24.52,114.2,929.4,0.1071,0.06487,69.47,0.04252,23.32,33.82,151.6,1681,0.1585,0.3313
13.8,15.79,90.43,584.1,0.1007,0.06566,23.35,0.01759,16.57,20.86,110.3,812.4,0.1411,0.2589
12.31,16.52,79.19,470.9,0.09172,0.05914,19.68,0.01826,14.11,23.21,89.71,611.1,0.1176,0.2618
16.07,19.65,104.1,817.7,0.09168,0.05391,79.25,0.035,19.77,24.56,128.8,1223,0.15,0.265
13.53,10.94,87.91,559.2,0.1291,0.06641,32.65,0.01162,14.08,12.49,91.36,605.5,0.1451,0.271
18.05,16.15,120.2,1006,0.1065,0.06673,134.8,0.04658,22.39,18.91,150.1,1610,0.1478,0.3751
20.18,23.97,143.7,1245,0.1286,0.08142,116.4,0.1091,23.37,31.72,170.3,1623,0.1639,0.544
12.86,18,83.19,506.3,0.09934,0.05997,20.35,0.02071,14.24,24.82,91.88,622.1,0.1289,0.2779
11.45,20.97,73.81,401.5,0.1102,0.07005,24.62,0.02586,13.11,32.16,84.53,525.1,0.1557,0.2762
13.34,15.86,86.49,520,0.1078,0.06902,12.96,0.0398,15.53,23.19,96.66,614.9,0.1536,0.3527
25.22,24.91,171.5,1878,0.1063,0.06782,120,0.0573,30,33.62,211.7,2562,0.1573,0.2355
19.1,26.29,129.1,1132,0.1215,0.07224,67.1,0.02134,20.33,32.72,141.3,1298,0.1392,0.2311
12,15.65,76.95,443.3,0.09723,0.05968,16.16,0.02007,13.67,24.9,87.78,567.9,0.1377,0.3379
18.46,18.52,121.1,1075,0.09874,0.06022,80.6,0.02806,22.93,27.68,152.2,1603,0.1398,0.3695
14.48,21.46,94.25,648.2,0.09444,0.05636,38.87,0.05371,16.21,29.25,108.4,808.9,0.1306,0.302
19.02,24.59,122,1076,0.09029,0.05629,57.65,0.0371,24.56,30.41,152.9,1623,0.1249,0.3956
12.36,21.8,79.78,466.1,0.08772,0.06404,20.95,0.02703,13.83,30.5,91.46,574.7,0.1304,0.2972
14.64,15.24,95.77,651.9,0.1132,0.06346,42.76,0.04436,16.34,18.24,109.4,803.6,0.1277,0.3151
14.62,24.02,94.57,662.7,0.08974,0.05866,33.76,0.01121,16.11,29.11,102.9,803.7,0.1115,0.2522
15.37,22.76,100.2,728.2,0.092,0.06097,29.44,0.04531,16.43,25.84,107.5,830.9,0.1257,0.2556
13.27,14.76,84.74,551.7,0.07355,0.05318,36.35,0.01358,16.36,22.35,104.5,830.6,0.1006,0.2027
13.45,18.3,86.6,555.1,0.1022,0.0571,25.22,0.01872,15.1,25.94,97.59,699.4,0.1339,0.2678
15.06,19.83,100.3,705.6,0.1039,0.06284,47.14,0.04867,18.23,24.23,123.5,1025,0.1551,0.2834
20.26,23.03,132.4,1264,0.09078,0.05649,87.87,0.04232,24.22,31.59,156.1,1750,0.119,0.3689
12.18,17.84,77.79,451.1,0.1045,0.06635,24.44,0.01131,12.83,20.92,82.14,495.2,0.114,0.2227
9.787,19.94,62.11,294.5,0.1024,0.0689,20.05,0.005308,10.92,26.29,68.81,366.1,0.1316,0.1934
11.6,12.84,74.34,412.6,0.08983,0.06582,15.75,0.01693,13.06,17.16,82.96,512.5,0.1431,0.2772
14.42,19.77,94.48,642.5,0.09752,0.0639,26.85,0.03321,16.33,30.86,109.5,826.4,0.1431,0.2718
13.61,24.98,88.05,582.7,0.09488,0.05871,43.14,0.02647,16.99,35.27,108.6,906.5,0.1265,0.2651
6.981,13.43,43.79,143.5,0.117,0.07818,9.833,0,7.93,19.54,50.41,185.2,0.1584,0.2932
12.18,20.52,77.22,458.7,0.08013,0.05677,14.68,0.01069,13.34,32.84,84.58,547.8,0.1123,0.2694
9.876,19.4,63.95,298.3,0.1005,0.06322,11.77,0.03029,10.76,26.83,72.22,361.2,0.1559,0.2622
10.49,19.29,67.41,336.1,0.09989,0.06481,23.13,0.0288,11.54,23.31,74.22,402.8,0.1219,0.2826
13.11,15.56,87.21,530.2,0.1398,0.07692,34.66,0.05473,16.31,22.4,106.4,827.2,0.1862,0.3147
11.64,18.33,75.17,412.5,0.1142,0.0652,20.62,0.02945,13.14,29.26,85.51,521.7,0.1688,0.2806
12.36,18.54,79.01,466.7,0.08477,0.06066,9.227,0.01167,13.29,27.49,85.56,544.1,0.1184,0.2983
22.27,19.67,152.8,1509,0.1326,0.07039,170,0.104,28.4,28.01,206.8,2360,0.1701,0.4055
11.34,21.26,72.48,396.5,0.08759,0.06529,16.41,0.02443,13.01,29.15,83.99,518.1,0.1699,0.2829
9.777,16.99,62.5,290.2,0.1037,0.07065,22.87,0.02722,11.05,21.47,71.68,367,0.1467,0.2533
12.63,20.76,82.15,480.4,0.09933,0.0707,20.48,0.05101,13.33,25.47,89,527.4,0.1287,0.2226
14.26,19.65,97.83,629.9,0.07837,0.07769,29.25,0.1435,15.3,23.73,107,709,0.08949,0.2398
10.51,20.19,68.64,334.2,0.1122,0.07782,19.91,0.04591,11.16,22.75,72.62,374.4,0.13,0.2383
8.726,15.83,55.84,230.9,0.115,0.07633,8.966,0.03259,9.628,19.62,64.48,284.4,0.1724,0.2926
11.93,21.53,76.53,438.6,0.09768,0.06194,24.79,0.01835,13.67,26.15,87.54,583,0.15,0.2438
8.95,15.76,58.74,245.2,0.09462,0.07163,16.94,0.09263,9.414,17.07,63.34,270,0.1179,0.1652
14.87,16.67,98.64,682.5,0.1162,0.06768,41.18,0.03011,18.81,27.37,127.1,1095,0.1878,0.3585
15.78,22.91,105.7,782.6,0.1155,0.07331,58.63,0.0595,20.19,30.5,130.3,1272,0.1855,0.3274
17.95,20.01,114.2,982,0.08402,0.05025,54.04,0.02291,20.58,27.83,129.2,1261,0.1072,0.4882
11.41,10.82,73.34,403.3,0.09373,0.06113,10.5,0.01514,12.82,15.97,83.74,510.5,0.1548,0.3016
18.66,17.12,121.4,1077,0.1054,0.06213,90.47,0.03342,22.25,24.9,145.4,1549,0.1503,0.2894
24.25,20.2,166.2,1761,0.1447,0.06877,233,0.1278,26.02,23.99,180.9,2073,0.1696,0.3222
14.5,10.89,94.28,640.7,0.1101,0.06402,24.19,0.02882,15.7,15.98,102.8,745.5,0.1313,0.2889
13.37,16.39,86.1,553.5,0.07115,0.05823,14.66,0.04957,14.26,22.75,91.99,632.1,0.1025,0.2048
13.85,17.21,88.44,588.7,0.08785,0.0589,17.91,0.009127,15.49,23.58,100.3,725.9,0.1157,0.2364
13.61,24.69,87.76,572.6,0.09258,0.0613,19.83,0.01796,16.89,35.64,113.2,848.7,0.1471,0.347
19,18.91,123.4,1138,0.08217,0.05044,81.23,0.0404,22.32,25.73,148.2,1538,0.1021,0.2841
15.1,16.39,99.58,674.5,0.115,0.06467,39.84,0.03204,16.11,18.33,105.9,762.6,0.1386,0.259
19.79,25.12,130.4,1192,0.1015,0.06113,63.33,0.04755,22.63,33.58,148.7,1589,0.1275,0.3305
12.19,13.29,79.08,455.8,0.1066,0.06471,15.24,0.01018,13.34,17.81,91.38,545.2,0.1427,0.3469
15.46,19.48,101.7,748.9,0.1092,0.05796,48.31,0.02813,19.26,26,124.9,1156,0.1546,0.2837
16.16,21.54,106.2,809.8,0.1008,0.05891,43.68,0.02219,19.47,31.68,129.7,1175,0.1395,0.348
15.71,13.93,102,761.7,0.09462,0.05723,27.94,0.01678,17.5,19.25,114.3,922.8,0.1223,0.2723
18.45,21.91,120.2,1075,0.0943,0.05727,68.35,0.02855,22.52,31.39,145.6,1590,0.1465,0.3109
12.77,22.47,81.72,506.3,0.09055,0.06065,19.87,0.02332,14.49,33.37,92.04,653.6,0.1419,0.2829
11.71,16.67,74.72,423.6,0.1051,0.05945,34.37,0.02662,13.33,25.48,86.16,546.7,0.1271,0.1712
11.43,15.39,73.06,399.8,0.09639,0.05865,12.67,0.01434,12.32,22.02,79.93,462,0.119,0.2676
14.95,17.57,96.85,678.1,0.1167,0.06216,101.9,0.06577,18.55,21.43,121.4,971.4,0.1411,0.3414
11.28,13.39,73,384.8,0.1164,0.06072,26.33,0.02187,11.92,15.77,76.53,434,0.1367,0.2102
9.738,11.97,61.24,288.5,0.0925,0.06422,12.26,0,10.62,14.1,66.53,342.9,0.1234,0.3105
16.11,18.05,105.1,813,0.09721,0.06248,74.08,0.03067,19.92,25.27,129,1233,0.1314,0.2792
11.43,17.31,73.66,398,0.1092,0.06562,21.38,0.01158,12.78,26.76,82.66,503,0.1413,0.2584
12.9,15.92,83.74,512.2,0.08677,0.06235,16.64,0.0151,14.48,21.82,97.17,643.8,0.1312,0.3549
10.75,14.97,68.26,355.3,0.07793,0.05688,17.74,0.02018,11.95,20.72,77.79,441.2,0.1076,0.23
11.9,14.65,78.11,432.8,0.1152,0.07839,25.03,0.02789,13.15,16.51,86.26,509.6,0.1424,0.2727
11.8,16.58,78.99,432,0.1091,0.07371,24.72,0.04649,13.74,26.38,91.93,591.7,0.1385,0.5774
14.95,18.77,97.84,689.5,0.08138,0.06493,39.43,0.05303,16.25,25.47,107.1,809.7,0.0997,0.2852
14.44,15.18,93.97,640.1,0.0997,0.06081,21.2,0.03114,15.85,19.85,108.6,766.9,0.1316,0.2691
13.74,17.91,88.12,585,0.07944,0.0558,21.47,0.0178,15.34,22.46,97.19,725.9,0.09711,0.235
13,20.78,83.51,519.4,0.1135,0.06087,34.78,0.01949,14.16,24.11,90.82,616.7,0.1297,0.3196
8.219,20.7,53.27,203.9,0.09405,0.08261,10.21,0.07753,9.092,29.72,58.08,249.8,0.163,0.3322
9.731,15.34,63.78,300.2,0.1072,0.09296,49.85,0.396,11.02,19.49,71.04,380.5,0.1292,0.3108
11.15,13.08,70.87,381.9,0.09754,0.06105,15.48,0.01196,11.99,16.3,76.25,440.8,0.1341,0.2859
13.15,15.34,85.31,538.9,0.09384,0.06207,22.79,0.03047,14.77,20.5,97.67,677.3,0.1478,0.3849
12.25,17.94,78.27,460.3,0.08654,0.06228,16.51,0.01994,13.59,25.22,86.6,564.2,0.1217,0.3113
17.68,20.74,117.4,963.7,0.1115,0.06166,93.91,0.05206,20.47,25.11,132.9,1302,0.1418,0.2463
16.84,19.46,108.4,880.2,0.07445,0.05268,46.61,0.03056,18.22,28.07,120.3,1032,0.08774,0.2527
12.06,12.74,76.84,448.6,0.09311,0.05907,13.25,0.008342,13.14,18.41,84.08,532.8,0.1275,0.2514
10.9,12.96,68.69,366.8,0.07515,0.05743,18.54,0.001835,12.36,18.2,78.07,470,0.1171,0.2738
11.75,20.18,76.1,419.8,0.1089,0.06453,38.34,0.04167,13.32,26.21,88.91,543.9,0.1358,0.3168
19.19,15.94,126.3,1157,0.08694,0.05176,119.3,0.04344,22.03,17.81,146.6,1495,0.1124,0.2443
19.59,18.15,130.7,1214,0.112,0.06082,97.07,0.04029,26.73,26.39,174.9,2232,0.1438,0.3643
12.34,22.22,79.85,464.5,0.1012,0.06761,21.55,0.03125,13.58,28.68,87.36,553,0.1452,0.2268
23.27,22.04,152.1,1686,0.08439,0.05553,97.85,0.02822,28.01,28.22,184.2,2403,0.1228,0.3589
14.97,19.76,95.5,690.2,0.08421,0.05266,16.64,0.008268,15.98,25.82,102.3,782.1,0.1045,0.2646
10.8,9.71,68.77,357.6,0.09594,0.064,11.48,0.01099,11.6,12.02,73.66,414,0.1436,0.209
16.78,18.8,109.3,886.3,0.08865,0.05534,67.34,0.02626,20.05,26.3,130.7,1260,0.1168,0.281
17.47,24.68,116.1,984.6,0.1049,0.06365,122.3,0.04644,23.14,32.33,155.3,1660,0.1376,0.216
14.97,16.95,96.22,685.9,0.09855,0.0565,24.28,0.007276,16.11,23,104.6,793.7,0.1216,0.2404
12.32,12.39,78.85,464.1,0.1028,0.05955,17.43,0.01683,13.5,15.64,86.97,549.1,0.1385,0.2827
13.43,19.63,85.84,565.4,0.09048,0.05671,43.4,0.02151,17.98,29.87,116.6,993.6,0.1401,0.2884
15.46,11.89,102.5,736.9,0.1257,0.07069,44.64,0.04303,18.79,17.04,125,1102,0.1531,0.3216
11.08,14.71,70.21,372.7,0.1006,0.06669,19.08,0.01453,11.35,16.82,72.01,396.5,0.1216,0.1902
10.66,15.15,67.49,349.6,0.08792,0.05975,21.98,0,11.54,19.2,73.2,408.3,0.1076,0.271
8.671,14.45,54.42,227.2,0.09138,0.06724,11.36,0,9.262,17.04,58.36,259.2,0.1162,0.2592
9.904,18.06,64.6,302.4,0.09699,0.08116,27.48,0.1197,11.26,24.39,73.07,390.2,0.1301,0.2614
16.46,20.11,109.3,832.9,0.09831,0.06323,31.59,0.05371,17.79,28.45,123.5,981.2,0.1415,0.3054
13.01,22.22,82.01,526.4,0.06251,0.05234,14.34,0.001595,14,29.02,88.18,608.8,0.08125,0.2295
12.81,13.06,81.29,508.8,0.08739,0.06133,21.79,0.00618,13.63,16.15,86.7,570.7,0.1162,0.1783
27.22,21.87,182.1,2250,0.1094,0.0577,128.7,0.03109,33.12,32.85,220.8,3216,0.1472,0.2856
21.09,26.57,142.7,1311,0.1141,0.07398,81.46,0.03872,26.68,33.48,176.5,2089,0.1491,0.4098
15.7,20.31,101.2,766.6,0.09597,0.05549,40.98,0.01954,20.11,32.82,129.3,1269,0.1414,0.3437
11.41,14.92,73.53,402,0.09059,0.06217,22.77,0.05915,12.37,17.7,79.12,467.2,0.1121,0.1811
15.28,22.41,98.92,710.6,0.09057,0.06317,19.53,0.01774,17.8,28.03,113.8,973.1,0.1301,0.3175
10.08,15.11,63.76,317.5,0.09267,0.06048,26.43,0.001597,11.87,21.18,75.39,437,0.1521,0.2933
18.31,18.58,118.6,1041,0.08588,0.05425,28.92,0.01412,21.31,26.36,139.2,1410,0.1234,0.3206
11.71,17.19,74.68,420.3,0.09774,0.06095,17.86,0.01978,13.01,21.39,84.42,521.5,0.1323,0.2572
11.81,17.39,75.27,428.9,0.1007,0.0578,14.47,0.01556,12.57,26.48,79.57,489.5,0.1356,0.32
12.3,15.9,78.83,463.7,0.0808,0.05474,18.32,0.02117,13.35,19.59,86.65,546.7,0.1096,0.2482
14.22,23.12,94.37,609.9,0.1075,0.07542,31.72,0.1166,15.74,37.18,106.4,762.4,0.1533,0.5166
12.77,21.41,82.02,507.4,0.08749,0.06287,53.65,0.02176,13.75,23.5,89.04,579.5,0.09388,0.2179
9.72,18.22,60.73,288.1,0.0695,0.06447,21.69,0,9.968,20.83,62.25,303.8,0.07117,0.1909
12.34,26.86,81.15,477.4,0.1034,0.06937,34.44,0.03763,15.65,39.34,101.7,768.9,0.1785,0.3215
14.86,23.21,100.4,671.4,0.1044,0.06672,25.2,0.05551,16.08,27.78,118.6,784.7,0.1316,0.3
12.91,16.33,82.53,516.4,0.07941,0.05667,15.75,0.02321,13.88,22,90.81,600.6,0.1097,0.3024
13.77,22.29,90.63,588.9,0.12,0.06877,49.7,0.04665,16.39,34.01,111.6,806.9,0.1737,0.308
18.08,21.84,117.4,1024,0.07371,0.0534,76.36,0.0611,19.76,24.7,129.1,1228,0.08822,0.2369
19.18,22.49,127.5,1148,0.08523,0.05529,54.22,0.02706,23.36,32.06,166.4,1688,0.1322,0.3193
14.45,20.22,94.49,642.7,0.09872,0.06466,19.42,0.02,18.33,30.12,117.9,1044,0.1552,0.4753
12.23,19.56,78.54,461,0.09586,0.06013,27.24,0.01401,14.44,28.36,92.15,638.4,0.1429,0.2668
17.54,19.32,115.1,951.6,0.08968,0.05491,40.73,0.02713,20.42,25.84,139.5,1239,0.1381,0.2928
23.29,26.67,158.9,1685,0.1141,0.06229,83.16,0.08958,25.12,32.68,177,1986,0.1536,0.3198
13.81,23.75,91.56,597.8,0.1323,0.07421,52.72,0.03112,19.2,41.85,128.5,1153,0.2226,0.4432
12.47,18.6,81.09,481.9,0.09965,0.06373,30.29,0.02701,14.97,24.64,96.05,677.9,0.1426,0.3014
15.12,16.68,98.78,716.6,0.08876,0.05986,26.44,0.02039,17.77,20.24,117.7,989.5,0.1491,0.3415
9.876,17.27,62.92,295.4,0.1089,0.06285,12.33,0.007975,10.42,23.22,67.08,331.6,0.1415,0.2989
17.01,20.26,109.7,904.3,0.08772,0.05223,68.46,0.01946,19.8,25.05,130,1210,0.1111,0.3275
13.11,22.54,87.02,529.4,0.1002,0.0731,15.09,0.02526,14.55,29.16,99.48,639.3,0.1349,0.4128
15.27,12.91,98.17,725.5,0.08182,0.05526,20,0.01841,17.38,15.92,113.7,932.7,0.1222,0.232
20.58,22.14,134.7,1290,0.0909,0.05024,111.7,0.05489,23.24,27.84,158.3,1656,0.1178,0.2909
11.84,18.94,75.51,428,0.08871,0.06057,17.12,0.02045,13.3,24.99,85.22,546.3,0.128,0.2535
28.11,18.47,188.5,2499,0.1142,0.05525,525.6,0.06389,28.11,18.47,188.5,2499,0.1142,0.1648
17.42,25.56,114.5,948,0.1006,0.05866,58.53,0.1438,18.07,28.07,120.4,1021,0.1243,0.1603
14.19,23.81,92.87,610.7,0.09463,0.06433,31,0.03688,16.86,34.85,115,811.3,0.1559,0.4724
13.86,16.93,90.96,578.9,0.1026,0.06916,22.69,0.03909,15.75,26.93,104.4,750.1,0.146,0.363
11.89,18.35,77.32,432.2,0.09363,0.06314,21.46,0.05946,13.25,27.1,86.2,531.2,0.1405,0.3397
10.2,17.48,65.05,321.2,0.08054,0.06315,22.79,0.05774,11.48,24.47,75.4,403.7,0.09527,0.2868
19.8,21.56,129.7,1230,0.09383,0.05581,124.4,0.03446,25.73,28.64,170.3,2009,0.1353,0.307
19.53,32.47,128,1223,0.0842,0.05313,109.9,0.02664,27.9,45.41,180.2,2477,0.1408,0.2713
13.65,13.16,87.88,568.9,0.09646,0.06344,17.4,0.01652,15.34,16.35,99.71,706.2,0.1311,0.238
13.56,13.9,88.59,561.3,0.1051,0.06303,21.03,0.02544,14.98,17.13,101.1,686.6,0.1376,0.3065
10.18,17.53,65.12,313.1,0.1061,0.06908,15.05,0.008534,11.17,22.84,71.94,375.6,0.1406,0.3055
15.75,20.25,102.6,761.3,0.1025,0.06303,32.19,0.02384,19.56,30.29,125.9,1088,0.1552,0.3993
13.27,17.02,84.55,546.4,0.08445,0.05674,24.68,0.02259,15.14,23.6,98.84,708.8,0.1276,0.2506
14.34,13.47,92.51,641.2,0.09906,0.05448,48.29,0.0236,16.77,16.9,110.4,873.2,0.1297,0.3062
10.44,15.46,66.62,329.6,0.1053,0.0645,11.86,0.002817,11.52,19.8,73.47,395.4,0.1341,0.2615
15,15.51,97.45,684.5,0.08371,0.05907,19.88,0.03644,16.41,19.31,114.2,808.2,0.1136,0.2954
12.62,23.97,81.35,496.4,0.07903,0.06019,18.51,0.03016,14.2,31.31,90.67,624,0.1227,0.2826
12.83,22.33,85.26,503.2,0.1088,0.07254,25.13,0.04683,15.2,30.15,105.3,706,0.1777,0.3407
17.05,19.08,113.4,895,0.1141,0.06325,31.98,0.03055,19.59,24.89,133.5,1189,0.1703,0.3109
11.32,27.08,71.76,395.7,0.06883,0.05628,8.605,0.01633,12.08,33.75,79.82,452.3,0.09203,0.2849
